,train_no,train_name,source,destination,train_link
6466,54389,Najibabad Kotdwar Passenger,Najibabad Junction,Kotdwara,https://www.prokerala.com//travel/indian-railway/trains/najibabad-kotdwar-passenger-4000.html
6467,05437,Najibabad Laksar Karthik Mela Special,Najibabad Junction,Laksar Junction,https://www.prokerala.com//travel/indian-railway/trains/najibabad-laksar-karthik-mela-special-10024.html
6468,05439,Najibabad Laksar Karthik Mela Special,Najibabad Junction,Laksar Junction,https://www.prokerala.com//travel/indian-railway/trains/najibabad-laksar-karthik-mela-special-10025.html
6469,54396,Najibabad Moradabad Passenger,Najibabad Junction,Moradabad,https://www.prokerala.com//travel/indian-railway/trains/najibabad-moradabad-passenger-4007.html
6470,55031,Nakaha Jungle Lucknow Junction Passenger,Nakaha Jungle,Lucknow,https://www.prokerala.com//travel/indian-railway/trains/nakaha-jungle-lucknow-junction-passenger-4208.html
6471,55049,Nakha Jungle Daliganj Passenger,Nakaha Jungle,Daliganj,https://www.prokerala.com//travel/indian-railway/trains/nakha-jungle-daliganj-passenger-4224.html
6472,74941,Nakodar Jalandhar City  DEMU,Nakodar Junction,Jalandhar City,https://www.prokerala.com//travel/indian-railway/trains/nakodar-jalandhar-city-demu-7015.html
6473,74943,Nakodar Jalandhar City Dmu,Nakodar Junction,Jalandhar City,https://www.prokerala.com//travel/indian-railway/trains/nakodar-jalandhar-city-dmu-7017.html
6474,74945,Nakodar Jalandhar City Dmu,Nakodar Junction,Jalandhar City,https://www.prokerala.com//travel/indian-railway/trains/nakodar-jalandhar-city-dmu-7019.html
6475,74947,Nakodar Jalandhar City Dmu,Nakodar Junction,Jalandhar City,https://www.prokerala.com//travel/indian-railway/trains/nakodar-jalandhar-city-dmu-7021.html
6476,73034,Nalhati - Azimganj DEMU,Nalhati,Azimganj Junction,https://www.prokerala.com//travel/indian-railway/trains/nalhati-azimganj-demu-6798.html
6477,63034,Nalhati Azimganj Memu,Nalhati,Azimganj Junction,https://www.prokerala.com//travel/indian-railway/trains/nalhati-azimganj-memu-9714.html
6478,12402,Nanda Devi AC Express,Dehradun,Kota Junction,https://www.prokerala.com//travel/indian-railway/trains/nanda-devi-ac-express-1055.html
6479,12401,Nanda Devi AC Express,Kota Junction,Dehradun,https://www.prokerala.com//travel/indian-railway/trains/nanda-devi-ac-express-1056.html
6480,12815,Nandan Kanan Express,Puri,Anand Vihar Terminus,https://www.prokerala.com//travel/indian-railway/trains/nandan-kanan-express-1686.html
6481,12816,Nandan Kanan Express,Anand Vihar Terminus,Puri,https://www.prokerala.com//travel/indian-railway/trains/nandan-kanan-express-1687.html
6482,18510,Nanded - Visakhapatnam Express,Nanded,Visakhapatnam Junction,https://www.prokerala.com//travel/indian-railway/trains/nzb-vskp-express-1239.html
6483,07619,Nanded Pune Diwali Special,Nanded,Pune Junction,https://www.prokerala.com//travel/indian-railway/trains/nanded-pune-diwali-special-9954.html
6484,07621,Nanded Pune Diwali Special,Nanded,Pune Junction,https://www.prokerala.com//travel/indian-railway/trains/nanded-pune-diwali-special-9955.html
6485,11401,Nandigram Express,Chhatrapati Shivaji Maharaj Terminus,Nagpur,https://www.prokerala.com//travel/indian-railway/trains/nandigram-express-1189.html
6486,11402,Nandigram Express,Nagpur,Chhatrapati Shivaji Maharaj Terminus,https://www.prokerala.com//travel/indian-railway/trains/nandigram-express-1190.html
6487,52915,Nandol Dehegam - Ahmedabad Passenger,Nandol Dehegam,Ahmedabad Junction MG,https://www.prokerala.com//travel/indian-railway/trains/nandol-dehegam-ahmedabad-passenger-3512.html
6488,52917,Nandol Dehegam - Ahmedabad Passenger,Nandol Dehegam,Ahmedabad Junction MG,https://www.prokerala.com//travel/indian-railway/trains/nandol-dehegam-ahmedabad-passenger-3514.html
